,region,electorate_2019,population_2020,area_km2,representative,,party,province_name,district_no,district_link
93,XI,145291,223811,3209.91,Nelson Dayanghirang,,Nacionalista,Davao Oriental,1,/wiki/Davao_Oriental%27s_1st_congressional_district
94,XI,220205,352532,2469.73,Cheeno Almario,,Lakas,Davao Oriental,2,/wiki/Davao_Oriental%27s_2nd_congressional_district
95,XIII,78795,128117,1036.34,Alan Uno Ecleo,,Lakas,Dinagat Islands,at-large,/wiki/Dinagat_Islands%27s_at-large_congressional_district
96,VIII,338718,477168,4660.47,Maria Fe Abunda,,PDP,Eastern Samar,at-large,/wiki/Eastern_Samar%27s_at-large_congressional_district
97,XII,301106,697315,492.86,Ton Acharon,,NPC,General Santos,at-large,/wiki/General_Santos%27_at-large_congressional_district
98,VI,119538,187842,604.57,Ma. Lucille Nava,,PDP,Guimaras,at-large,/wiki/Guimaras%27s_at-large_congressional_district
99,CAR,124289,207498,2628.21,Solomon Chungalao,,NPC,Ifugao,at-large,/wiki/Legislative_districts_of_Ifugao
100,X,184058,363115,813.37,Celso Regencia,,PDP,Iligan,at-large,/wiki/Iligan%27s_at-large_congressional_district
101,I,218493,313584,2047.42,Sandro Marcos,,PFP,Ilocos Norte,1,/wiki/Ilocos_Norte%27s_1st_congressional_district
102,I,197740,296004,1420.47,Eugenio Angelo Barba,,Nacionalista,Ilocos Norte,2,/wiki/Ilocos_Norte%27s_2nd_congressional_district
103,I,190952,298333,518.73,Ronald Singson,,NPC,Ilocos Sur,1,/wiki/Ilocos_Sur%27s_1st_congressional_district
104,I,266818,407676,2077.27,Kristine Singson-Meehan,,NPC,Ilocos Sur,2,/wiki/Ilocos_Sur%27s_2nd_congressional_district
105,VI,220068,374726,840.27,Janette Garin,,Lakas,Iloilo,1,/wiki/Iloilo%27s_1st_congressional_district
106,VI,204119,346189,606.88,Michael Gorriceta,,Nacionalista,Iloilo,2,/wiki/Iloilo%27s_2nd_congressional_district
107,VI,260489,456006,1405.43,Lorenz Defensor,,NUP,Iloilo,3,/wiki/Iloilo%27s_3rd_congressional_district
108,VI,250384,402317,976.95,Ferjenel Biron,,Nacionalista,Iloilo,4,/wiki/Iloilo%27s_4th_congressional_district
109,VI,295332,472661,1171.3,Raul Tupas,,Nacionalista,Iloilo,5,/wiki/Iloilo%27s_5th_congressional_district
110,VI,294776,457626,78.34,Julienne Baronda,,Lakas,Iloilo City,at-large,/wiki/Iloilo_City%27s_at-large_congressional_district
111,II,246572,399196,4519.71,Antonio Albano,,Lakas,Isabela,1,/wiki/Isabela%27s_1st_congressional_district
112,II,119263,199903,2890.49,Ed Christopher Go,,Nacionalista,Isabela,2,/wiki/Isabela%27s_2nd_congressional_district
113,II,168562,282027,686.27,Ian Paul Dy,,Lakas,Isabela,3,/wiki/Isabela%27s_3rd_congressional_district
114,II,181913,268602,1922.44,Joseph Tan,,Lakas,Isabela,4,/wiki/Isabela%27s_4th_congressional_district
115,II,167755,267550,981.43,Faustino Michael Carlos Dy III,,Lakas,Isabela,5,/wiki/Isabela%27s_5th_congressional_district
116,II,166616,279772,1414.59,Faustino Dy V,,Lakas,Isabela,6,/wiki/Isabela%27s_6th_congressional_district
117,CAR,137658,229570,3231.25,Allen Jesse Mangaoang,,Nacionalista,Kalinga,at-large,/wiki/Legislative_districts_of_Kalinga
118,I,233923,376529,706.56,Paolo Ortega,,NPC,La Union,1,/wiki/La_Union%27s_1st_congressional_district
119,I,276786,445823,791.14,Dante Garcia,,Lakas,La Union,2,/wiki/La_Union%27s_2nd_congressional_district
120,IV-A,399962,326001,24.05,Ann Matibag,,Lakas,Laguna,1,/wiki/Laguna%27s_1st_congressional_district
121,IV-A,314028,537865,140.28,Ruth Mariano-Hernandez,,Lakas,Laguna,2,/wiki/Laguna%27s_2nd_congressional_district
122,IV-A,319696,590757,487.87,Amben Amante,,Lakas,Laguna,3,/wiki/Laguna%27s_3rd_congressional_district
123,IV-A,365157,565650,1017.91,Jam Agarao,,PFP,Laguna,4,/wiki/Laguna%27s_4th_congressional_district
124,X,167566,321098,1092.82,Mohamad Khalid Dimaporo,,Lakas,Lanao del Norte,1,/wiki/Lanao_del_Norte%27s_1st_congressional_district
