,City,Population (2020),Province,Region,Legal Class,Charter,Area_km2,Area_mi2,Density_km2,Density_mi2,Chater,Approval_date,Approval_a,Approval_b,Approval_c,Ratification_date,Ratification_a,Ratification_b,Ratification_c,Article Link
136,Tangub,68389,Misamis Occidental,X,CC,RA 05131 [181],162.78,62.85,420.0,1088.0,RA 05131 ,"('June', '17', '1967')",June,17,1967,"('February', '28', '1968')",February,28,1968,/wiki/Tangub
137,Tanjay,82642,Negros Oriental,VII,CC,RA 09026 [183],267.05,103.11,309.0,802.0,RA 09026 ,"('March', '5', '2001')",March,5,2001,"('March', '31', '2001')",March,31,2001,/wiki/Tanjay
138,Tarlac City,385398,Tarlac,III,CC,RA 08593 [184],274.66,106.05,1403.0,3634.0,RA 08593 ,"('March', '12', '1998')",March,12,1998,"('April', '19', '1998')",April,19,1998,/wiki/Tarlac_City
139,Tayabas,112658,Quezon,IV-A,CC,RA 09398 [185],230.95,89.17,488.0,1263.0,RA 09398 ,"('March', '18', '2007')",March,18,2007,"('July', '14', '2007')",July,14,2007,/wiki/Tayabas
140,Toledo,207314,Cebu,VII,CC,RA 02688 [186],216.28,83.51,959.0,2483.0,RA 02688 ,"('June', '18', '1960')",June,18,1960,"('June', '18', '1960')",June,18,1960,"/wiki/Toledo,_Cebu"
141,Trece Martires,210503,Cavite,IV-A,CC,RA 00981 [187],39.1,15.1,5384.0,13944.0,RA 00981 ,"('May', '24', '1954')",May,24,1954,"('January', '1', '1956')",January,1,1956,/wiki/Trece_Martires
142,Tuguegarao,166334,Cagayan,II,CC,RA 08755 [188],144.8,55.91,1149.0,2975.0,RA 08755 ,"('November', '4', '1999')",November,4,1999,"('December', '18', '1999')",December,18,1999,/wiki/Tuguegarao
143,Urdaneta,144577,Pangasinan,I,CC,RA 08480 [189],100.26,38.71,1442.0,3735.0,RA 08480 ,"('February', '10', '1998')",February,10,1998,"('March', '21', '1998')",March,21,1998,"/wiki/Urdaneta,_Pangasinan"
144,Valencia,216546,Bukidnon,X,CC,RA 08985 [190],587.29,226.75,369.0,955.0,RA 08985 ,"('December', '5', '2000')",December,5,2000,"('December', '30', '2000')",December,30,2000,"/wiki/Valencia,_Bukidnon"
145,Valenzuela,714978,none ,NCR,HUC,RA 08526 [191],47.02,18.15,15206.0,39383.0,RA 08526 ,"('February', '14', '1998')",February,14,1998,"('December', '30', '1998')",December,30,1998,"/wiki/Valenzuela,_Metro_Manila"
146,Victorias,90101,Negros Occidental,VI,CC,RA 08488 [192],133.92,51.71,673.0,1743.0,RA 08488 ,"('February', '11', '1998')",February,11,1998,"('March', '21', '1998')",March,21,1998,/wiki/Victorias
147,Vigan,53935,Ilocos Sur,I,CC,RA 08988 [193],25.12,9.7,2147.0,5561.0,RA 08988 ,"('December', '27', '2000')",December,27,2000,"('January', '22', '2001')",January,22,2001,/wiki/Vigan
148,Zamboanga City,977234,Zamboanga del Sur,IX,HUC,CA 039 [196],1453.27,561.11,659.0,1706.0,CA 039 ,"('October', '12', '1936')",October,12,1936,"('February', '26', '1937')",February,26,1937,/wiki/Zamboanga_City
